ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-5042205,-4528232,-4061429,-4122819,-4749921,-5071382,-4944416,-1291369 
-5049256,-4536608,-4068064,-4129669,-4757066,-5080744,-4951400,-1331468 
-5065824,-4552992,-4084627,-4146097,-4773414,-5096152,-4967807,-1378600 
-5067804,-4553267,-4087285,-4148475,-4775322,-5094957,-4970194,-1325378 
-5049347,-4538664,-4067479,-4129368,-4757400,-5083972,-4951152,-1450803 
-5041583,-4525421,-4061446,-4122491,-4749117,-5067018,-4944216,-1271872 
-5065105,-4552200,-4083993,-4145536,-4772856,-5095837,-4967314,-1338791 
-5067656,-4552916,-4087136,-4148264,-4775153,-5094901,-4969894,-1306320 
-5061050,-4549397,-4079704,-4141281,-4768951,-5094096,-4963010,-1375541 
-5045065,-4532739,-4064099,-4125517,-4753026,-5077062,-4947147,-1384774 
-5047059,-4533634,-4066349,-4127486,-4754671,-5076875,-4949012,-1379606 
-5062166,-4548126,-4081716,-4142694,-4769599,-5090427,-4964191,-1349716 
-5066437,-4551230,-4086154,-4146962,-4773664,-5092797,-4968541,-1290166 
-5060339,-4547956,-4079124,-4140345,-4767831,-5092000,-4961794,-1353811 
-5045364,-4532867,-4064567,-4125632,-4753131,-5076786,-4946989,-1378338 
-5044647,-4530128,-4064474,-4125206,-4752226,-5072394,-4946574,-1316530 
-5060618,-4545587,-4080262,-4141011,-4767815,-5087246,-4962217,-1275572 
-5070166,-4556644,-4089376,-4150470,-4777576,-5099360,-4971646,-1301139 
-5061554,-4549922,-4080365,-4141871,-4769520,-5094359,-4963101,-1390346 
-5046881,-4535606,-4066035,-4127591,-4755299,-5080312,-4948712,-1420044 
-5046336,-4532985,-4065869,-4127158,-4754495,-5075970,-4948334,-1399857 
-5058394,-4542540,-4078369,-4139263,-4765888,-5083781,-4960527,-1292985 
-5069729,-4556102,-4089199,-4150355,-4777311,-5098982,-4971544,-1320929 
-5058481,-4545115,-4077914,-4139089,-4766142,-5088318,-4960192,-1338430 
-5043066,-4529263,-4062680,-4123880,-4750886,-5072611,-4945029,-1311935 
-5046785,-4532947,-4066382,-4127559,-4754579,-5076273,-4948848,-1296442 
-5063317,-4549211,-4082934,-4143954,-4770840,-5091731,-4965206,-1309286 
-5068979,-4554435,-4088827,-4149676,-4776457,-5096525,-4970965,-1279020 
-5059271,-4545713,-4078644,-4139652,-4766812,-5088919,-4960982,-1283478 
-5048366,-4536807,-4067426,-4128754,-4756440,-5081584,-4950142,-1351046 
-5046684,-4532516,-4066455,-4127308,-4754376,-5075002,-4948687,-1316386 
-5062465,-4547634,-4082353,-4143072,-4769827,-5089371,-4964391,-1257042 
-5072042,-4558645,-4091591,-4152505,-4779657,-5101307,-4974056,-1297386 
-5065458,-4554872,-4084116,-4145495,-4773452,-5099729,-4966886,-1393584 
