ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-3485384,-3404937,-3205796,-3184006,-3754344,-4069912,-3912934,-919612 
-3554355,-3431366,-3704496,-3714459,-3755596,-4095709,-3972392,-911114 
-3648013,-3516957,-3796988,-3776536,-3833986,-4177439,-4063744,-991148 
-3574622,-3483037,-3292587,-3224332,-3821287,-4140030,-3997516,-991056 
-3468272,-3412201,-2897866,-2825102,-3771307,-4068772,-3896690,-949924 
-3481994,-3415765,-3122542,-3096064,-3766945,-4071194,-3905546,-943622 
-3535259,-3427624,-3616411,-3624094,-3752886,-4081329,-3948934,-920324 
-3540743,-3421387,-3665564,-3648204,-3739061,-4072721,-3951881,-905949 
-3490087,-3407116,-3201537,-3134049,-3746127,-4056809,-3908462,-924661 
-3441557,-3394242,-2856701,-2784588,-3754496,-4044098,-3865949,-942996 
-3458324,-3399044,-3099612,-3074428,-3751637,-4049085,-3878189,-936982 
-3588064,-3488957,-3651267,-3658197,-3815696,-4136771,-3998111,-992959 
-3615331,-3505004,-3720699,-3702954,-3823832,-4150067,-4022989,-1001102 
-3495426,-3419353,-3209622,-3144703,-3759475,-4063772,-3910616,-947356 
-3414539,-3372877,-2839785,-2769014,-3734126,-4017961,-3835901,-931100 
-3414997,-3361666,-3058997,-3034687,-3715659,-4007173,-3832275,-909802 
-3504060,-3408967,-3582141,-3590799,-3737653,-4053774,-3911877,-922956 
-3550465,-3442915,-3669448,-3652851,-3764169,-4085971,-3955738,-949641 
-3498256,-3426705,-3205408,-3138385,-3768918,-4068056,-3910826,-966014 
-3464256,-3432214,-2841187,-2765207,-3795157,-4071477,-3882618,-1004112 
-3408989,-3367919,-2986195,-2957180,-3723984,-4006136,-3822577,-932261 
-3446417,-3364981,-3458217,-3464191,-3695468,-4000875,-3849658,-895704 
-3584204,-3488776,-3672701,-3658519,-3810707,-4123344,-3985141,-1009702 
-3540494,-3470799,-3316538,-3261500,-3813635,-4110309,-3950616,-1018096 
-3448414,-3404611,-3003547,-2946531,-3768913,-4051197,-3867368,-976414 
-3462956,-3401213,-3276976,-3265208,-3758272,-4053190,-3880346,-957444 
-3523556,-3413040,-3812041,-3835146,-3744702,-4068915,-3933687,-929639 
-3585283,-3457866,-3938759,-3934530,-3780074,-4113892,-3994748,-960327 
-3536264,-3442021,-3471248,-3415921,-3784957,-4098243,-3954642,-974333 
-3359777,-3295831,-3015619,-2955332,-3660595,-3955797,-3786097,-854766 
-3444209,-3371121,-3261314,-3239216,-3729483,-4031517,-3867620,-920951 
-3551631,-3438832,-3770937,-3781624,-3771439,-4097272,-3966036,-953854 
-3626864,-3503912,-3859195,-3843367,-3827512,-4158079,-4038575,-1011042 
-3481841,-3392942,-3312898,-3249976,-3736884,-4045641,-3900918,-930760 
-3423734,-3370807,-2942521,-2872532,-3736249,-4024198,-3849549,-939163 
-3445105,-3378129,-3202111,-3182877,-3737175,-4034905,-3868202,-934160 
-3537354,-3421629,-3792234,-3812449,-3754666,-4081896,-3952638,-936894 
-3556072,-3418860,-3923189,-3922237,-3742537,-4081583,-3970447,-918104 
-3431348,-3320967,-3441210,-3391606,-3664446,-3986586,-3854626,-844757 
-3366728,-3289267,-3058346,-2996649,-3654701,-3957867,-3797847,-841579 
-3498431,-3414371,-3321649,-3296974,-3774264,-4083090,-3926562,-960177 
-3632025,-3509858,-3852441,-3861936,-3843521,-4175692,-4050841,-1021112 
-3644554,-3508707,-3919276,-3907722,-3832849,-4171657,-4060697,-1009041 
-3496064,-3390640,-3398693,-3340519,-3734886,-4053793,-3919820,-918716 
-3424962,-3353390,-3017664,-2950959,-3720291,-4019154,-3855976,-912022 
-3477689,-3395858,-3272085,-3250951,-3756414,-4063280,-3906401,-942957 
-3614276,-3488526,-3861904,-3877888,-3823096,-4156796,-4034664,-997462 
-3607526,-3460782,-3972846,-3970512,-3785475,-4130360,-4026469,-953451 
-3573685,-3457794,-3545682,-3490268,-3802255,-4127895,-4000961,-978319 
-3458947,-3376816,-3107737,-3043286,-3744675,-4050034,-3893993,-928739 
-3482916,-3392102,-3310438,-3287929,-3753726,-4065953,-3915482,-933270 
-3647204,-3517231,-3879043,-3890116,-3852808,-4189063,-4070799,-1023364 
-3624987,-3476886,-3951570,-3945209,-3802502,-4147926,-4046329,-969207 
-3504868,-3385808,-3468836,-3414017,-3730768,-4057598,-3934140,-903920 
-3438139,-3354149,-3082786,-3017847,-3721491,-4028009,-3875172,-901587 
-3494245,-3400657,-3318820,-3296732,-3762762,-4076617,-3928986,-938207 
-3619639,-3482909,-3886828,-3902065,-3819138,-4159427,-4045946,-982716 
-3681469,-3527432,-4031274,-4024667,-3852973,-4202761,-4105596,-1013236 
-3578290,-3455506,-3540949,-3484559,-3800356,-4130269,-4010102,-969206 
-3424756,-3337397,-3062591,-2996177,-3705034,-4013689,-3863984,-881269 
-3473801,-3380571,-3255841,-3228139,-3743215,-4056722,-3910096,-917131 
-3611846,-3479906,-3799176,-3808539,-3816972,-4153942,-4038449,-982639 
-3589012,-3437984,-3888940,-3881576,-3764258,-4110998,-4012456,-925624 
-3604200,-3488179,-3486697,-3422851,-3833159,-4158239,-4034287,-1005577 
-3601109,-3528862,-3095356,-3017826,-3896642,-4196369,-4037732,-1082866 
-3583550,-3504687,-3249206,-3218376,-3868625,-4173100,-4017013,-1053825 
-3737644,-3620281,-3829841,-3835629,-3958133,-4286215,-4161175,-1135212 
-3723039,-3588959,-3921752,-3910821,-3915528,-4252098,-4143016,-1090704 
-3574820,-3471312,-3410957,-3350609,-3816685,-4133332,-4001687,-1000811 
-3461427,-3396067,-2961786,-2889254,-3764358,-4058204,-3895302,-958127 
-3417444,-3343459,-3102327,-3075364,-3707892,-4007597,-3848530,-898509 
-3535608,-3418364,-3663294,-3673236,-3758111,-4083447,-3957004,-939412 
-3638242,-3505984,-3850204,-3838991,-3833586,-4167041,-4055995,-1013495 
-3504749,-3403109,-3352347,-3292914,-3749204,-4062826,-3929597,-938024 
-3436904,-3374594,-2931821,-2858386,-3743937,-4034174,-3869027,-943329 
-3431195,-3362062,-3093542,-3064468,-3727876,-4023164,-3860750,-925241 
-3523060,-3411943,-3642410,-3653592,-3751565,-4072434,-3943196,-938385 
-3527779,-3396078,-3775954,-3769661,-3724107,-4055726,-3944730,-906671 
-3470638,-3370016,-3338456,-3279660,-3716471,-4028201,-3894934,-908232 
-3357187,-3294276,-2886528,-2816172,-3664103,-3953264,-3789393,-864977 
-3379184,-3309601,-3069240,-3041152,-3675985,-3970295,-3809150,-874249 
-3492962,-3380699,-3636052,-3648100,-3721406,-4041729,-3913675,-908839 
-3544626,-3412347,-3807078,-3800799,-3741127,-4072210,-3962131,-924967 
-3474814,-3372669,-3361197,-3303341,-3720029,-4031587,-3899652,-912959 
-3360966,-3296037,-2903887,-2833351,-3667504,-3956602,-3793839,-869714 
-3340809,-3268305,-3054707,-3028234,-3636377,-3931172,-3771604,-834637 
-3436971,-3320854,-3616336,-3630393,-3662514,-3984144,-3858383,-848549 
-3507337,-3370889,-3804441,-3799267,-3700054,-4032802,-3925308,-882391 
-3456387,-3350734,-3370689,-3313064,-3697700,-4010856,-3881557,-889242 
-3364113,-3297874,-2919018,-2847380,-3668413,-3958261,-3797327,-869683 
-3352544,-3279887,-3067302,-3039257,-3647284,-3942270,-3783609,-845300 
-3528515,-3414986,-3676954,-3686461,-3756402,-4076801,-3949797,-944901 
-3602229,-3469846,-3862310,-3854870,-3798606,-4129304,-4019589,-984787 
-3486211,-3382816,-3386696,-3329989,-3729319,-4041162,-3910610,-923685 
-3354594,-3288932,-2911910,-2841209,-3659125,-3948429,-3787142,-862044 
-3442890,-3374907,-3121091,-3088267,-3741929,-4034494,-3873226,-944481 
-3661144,-3556419,-3744191,-3749472,-3897527,-4213474,-4081716,-1093631 
-3641151,-3514965,-3874816,-3868531,-3843239,-4170727,-4057997,-1035517 
-3480344,-3380439,-3382758,-3328250,-3726328,-4036381,-3904506,-925309 
-3359922,-3297569,-2917567,-2847217,-3667264,-3954918,-3792499,-874818 
-3406784,-3340339,-3096191,-3065566,-3707610,-3999208,-3837487,-913614 
-3505784,-3395674,-3653407,-3665951,-3737802,-4055902,-3926936,-933248 
-3523407,-3389862,-3830360,-3828341,-3718214,-4049271,-3940909,-908010 
-3443392,-3337334,-3392350,-3338074,-3682864,-3995978,-3868204,-880230 
-3405340,-3340424,-2965016,-2891743,-3710266,-3998883,-3838546,-918665 
-3427708,-3360390,-3116256,-3085267,-3727511,-4019244,-3859092,-934175 
-3452953,-3339687,-3631430,-3646454,-3681152,-4000689,-3874896,-874638 
-3509642,-3372573,-3840399,-3838122,-3700314,-4033169,-3927720,-888308 
-3489794,-3382884,-3438079,-3381643,-3727529,-4041426,-3915146,-924672 
-3396316,-3330486,-2964227,-2891686,-3699457,-3988867,-3830501,-907049 
-3361945,-3291087,-3076581,-3047219,-3658114,-3951659,-3794628,-862392 
-3481968,-3367506,-3654804,-3666877,-3709012,-4029282,-3905034,-902063 
-3598312,-3462913,-3894701,-3889186,-3790889,-4122849,-4017223,-981337 
-3533270,-3427858,-3464166,-3407492,-3771991,-4085045,-3959396,-971001 
-3426303,-3362077,-2980447,-2906857,-3730392,-4018901,-3861050,-939554 
-3420620,-3353373,-3103727,-3071554,-3720031,-4011562,-3853721,-927601 
-3544356,-3434946,-3680430,-3690912,-3775986,-4093537,-3967779,-973525 
-3587592,-3454590,-3883886,-3880589,-3781366,-4112123,-4006908,-974134 
-3534001,-3429820,-3465793,-3409824,-3773004,-4085443,-3960493,-974603 
-3419166,-3355915,-2974311,-2901309,-3723413,-4011480,-3854444,-935263 
-3476429,-3412729,-3133792,-3098654,-3778821,-4068739,-3910180,-990501 
-3580153,-3474766,-3692983,-3702803,-3815357,-4131063,-4004249,-1017192 
-3598922,-3468684,-3887321,-3884524,-3794916,-4124381,-4018834,-991547 
-3511968,-3408623,-3453110,-3399216,-3751387,-4063307,-3938966,-955974 
-3394357,-3331132,-2963433,-2891096,-3698406,-3986278,-3830067,-912092 
-3436344,-3372187,-3109259,-3075468,-3738473,-4028309,-3870515,-951329 
-3558924,-3452684,-3685901,-3696150,-3793459,-4109210,-3983091,-996144 
-3544126,-3410922,-3862764,-3863150,-3737140,-4067757,-3963831,-933244 
-3490362,-3383546,-3460350,-3407171,-3725728,-4039247,-3916851,-929288 
-3388636,-3322900,-2971815,-2899939,-3689981,-3978705,-3823879,-903335 
-3407699,-3340627,-3094485,-3060681,-3707254,-3997961,-3841429,-919260 
-3528301,-3419537,-3664896,-3675283,-3760724,-4077189,-3952072,-962626 
-3559166,-3424326,-3877819,-3876921,-3750655,-4081603,-3978286,-946987 
-3515876,-3407764,-3484676,-3430897,-3749974,-4063617,-3941832,-954342 
-3469516,-3405286,-3026660,-2951103,-3772364,-4059940,-3904274,-988330 
-3430709,-3365449,-3097676,-3063808,-3732399,-4021604,-3864184,-947118 
-3508362,-3399476,-3645512,-3656906,-3741169,-4057033,-3932029,-944421 
-3522837,-3386427,-3854601,-3856028,-3713285,-4044303,-3941921,-910025 
-3406445,-3292559,-3425945,-3377330,-3634952,-3950734,-3832563,-836509 
-3461135,-3393322,-3037653,-2960161,-3760412,-4049253,-3896325,-974536 
-3531364,-3468466,-3160244,-3120910,-3835729,-4123168,-3965292,-1052419 
-3594504,-3489769,-3688392,-3697080,-3831838,-4145014,-4018494,-1038462 
-3669839,-3540771,-3939504,-3936172,-3867378,-4194432,-4088912,-1069748 
-3498781,-3392383,-3467287,-3418344,-3734639,-4046099,-3924832,-942506 
-3340757,-3272256,-2948416,-2878696,-3639807,-3927912,-3776232,-855156 
-3325259,-3255373,-3033166,-3001897,-3623392,-3913418,-3759998,-836394 
-3409254,-3294681,-3586941,-3600767,-3637736,-3955146,-3834479,-838468 
-3521756,-3380924,-3868949,-3869256,-3708722,-4040953,-3942152,-904504 
-3464497,-3349174,-3472689,-3422756,-3691978,-4007656,-3891672,-895141 
-3378091,-3305209,-2990001,-2917141,-3672489,-3963052,-3814591,-884971 
-3446807,-3378267,-3110213,-3072844,-3746094,-4035732,-3882308,-959673 
-3489771,-3377785,-3628071,-3639382,-3720361,-4036726,-3915509,-922381 
-3629934,-3493827,-3933087,-3930478,-3820275,-4150739,-4050431,-1018920 
-3506367,-3394123,-3494632,-3445531,-3735540,-4050055,-3933497,-940666 
-3407506,-3336527,-3003881,-2930727,-3703096,-3992596,-3843892,-917661 
-3380711,-3310811,-3060029,-3025894,-3678532,-3968512,-3816437,-891927 
-3486391,-3374042,-3624259,-3634851,-3716707,-4033069,-3912297,-918884 
-3574507,-3435939,-3898891,-3899179,-3762331,-4093776,-3995114,-959471 
