ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-3860013,-3781196,-3651897,-3658069,-4132182,-4510869,-4402307,-1000850 
-3866134,-3778803,-3758715,-3771074,-4115489,-4503479,-4403816,-993052 
-3899569,-3804219,-3862722,-3876119,-4113031,-4509749,-4427906,-1013865 
-3894107,-3800614,-3818217,-3826691,-4106611,-4500127,-4421147,-1012148 
-3881458,-3799146,-3691677,-3694594,-4131302,-4513062,-4416891,-1017954 
-3880546,-3803844,-3656389,-3661436,-4155221,-4532480,-4422166,-1026636 
-3875404,-3790282,-3756860,-3769330,-4127608,-4514084,-4412319,-1007736 
-3865974,-3769356,-3854825,-3869856,-4078494,-4475489,-4393559,-979266 
-3880141,-3785839,-3819568,-3828086,-4091390,-4485364,-4406396,-997304 
-3879981,-3797604,-3694117,-3696922,-4129264,-4511167,-4414567,-1017547 
-3879395,-3802593,-3657193,-3661875,-4153936,-4531090,-4420414,-1027154 
-3927331,-3846413,-3767553,-3777107,-4183995,-4568291,-4463922,-1068847 
-3964169,-3876809,-3871087,-3882454,-4186168,-4578622,-4491120,-1095941 
-3945856,-3860291,-3825986,-3833483,-4165805,-4555341,-4471047,-1081467 
-3899036,-3822454,-3691746,-3695437,-4154083,-4532715,-4432503,-1050179 
-3895870,-3824313,-3657308,-3661690,-4175868,-4549920,-4436040,-1056086 
-3865993,-3784709,-3747851,-3761800,-4123171,-4506699,-4401948,-1010684 
-3863048,-3769433,-3854432,-3869445,-4079639,-4474391,-4390011,-987208 
-3868112,-3776349,-3816970,-3827132,-4082281,-4474361,-4393739,-995328 
-3830631,-3747075,-3687607,-3692650,-4078696,-4460564,-4364785,-971164 
-3807925,-3727589,-3645171,-3652613,-4079229,-4457582,-4349148,-953540 
-3837040,-3749791,-3751617,-3764381,-4088448,-4475145,-4374421,-971152 
-3846239,-3748407,-3854754,-3870037,-4058674,-4455584,-4374285,-962620 
-3846683,-3749876,-3818942,-3829044,-4055520,-4450252,-4373234,-964531 
-3827135,-3739819,-3691401,-3695989,-4071207,-4455074,-4362317,-960798 
-3859790,-3780679,-3657388,-3661964,-4132256,-4510196,-4401971,-1006764 
-3847369,-3759920,-3750196,-3762912,-4098825,-4485626,-4385651,-980292 
-3871210,-3774307,-3858139,-3872459,-4084762,-4481316,-4400094,-988577 
-3817574,-3717761,-3811565,-3823747,-4023298,-4419458,-4344699,-929832 
-3785552,-3693384,-3685341,-3691534,-4024325,-4410659,-4321339,-909774 
-3788037,-3700712,-3645343,-3652427,-4052269,-4434134,-4331064,-919871 
-3824489,-3731079,-3749895,-3762144,-4070481,-4460139,-4363861,-946266 
-3817772,-3712790,-3849764,-3865881,-4023677,-4424071,-4347821,-919776 
-3792000,-3685019,-3813556,-3825385,-3990606,-4390373,-4320316,-890146 
-3766172,-3667454,-3686002,-3692361,-3998291,-4388013,-4302938,-877215 
-3764838,-3670796,-3643431,-3650825,-4022458,-4407914,-4308883,-882806 
-3771769,-3669479,-3741338,-3755287,-4009049,-4403582,-4312400,-875337 
-3803099,-3691022,-3852849,-3868122,-4001939,-4406509,-4334490,-889702 
-3803288,-3691582,-3820500,-3831179,-3996716,-4399624,-4332646,-889643 
-3809929,-3709471,-3698076,-3701985,-4039571,-4431039,-4347416,-914515 
-3813561,-3719987,-3650977,-3656585,-4070872,-4456989,-4358054,-928946 
-3804102,-3702265,-3742924,-3756122,-4041281,-4436326,-4344900,-905111 
-3826244,-3714146,-3854594,-3869265,-4024445,-4429961,-4357638,-909637 
-3841648,-3731566,-3825933,-3835499,-4035803,-4438947,-4370859,-928024 
-3814167,-3713197,-3695836,-3700196,-4042485,-4434786,-4351382,-915547 
-3840402,-3746684,-3654384,-3658589,-4097959,-4484059,-4384575,-955292 
-3830426,-3729585,-3744050,-3756623,-4069158,-4463304,-4371064,-932457 
-3834767,-3723095,-3852304,-3867541,-4033684,-4438591,-4366080,-917925 
-3825916,-3713899,-3822939,-3833530,-4018047,-4421866,-4355051,-907844 
-3816124,-3714636,-3696966,-3701659,-4043471,-4435986,-4353456,-914857 
-3793986,-3697005,-3644952,-3651595,-4047409,-4435125,-4338606,-899371 
-3824334,-3721636,-3744992,-3756891,-4061053,-4456189,-4365654,-920001 
-3848471,-3736557,-3855131,-3869514,-4047254,-4452388,-4380562,-928491 
-3827896,-3714371,-3822566,-3833405,-4018801,-4423216,-4357592,-905821 
-3803564,-3698133,-3695068,-3700106,-4027709,-4421764,-4341214,-895868 
-3817502,-3718311,-3648410,-3653603,-4070467,-4458870,-4362446,-921683 
-3810533,-3704360,-3738781,-3751593,-4045341,-4441746,-4352211,-901154 
-3833781,-3718601,-3853367,-3868107,-4029760,-4436314,-4366008,-907101 
-3844391,-3730473,-3829311,-3839129,-4034309,-4439144,-4374182,-919100 
-3820482,-3716376,-3699919,-3704660,-4044533,-4438333,-4358258,-910712 
-3808564,-3710051,-3646786,-3652768,-4060346,-4448864,-4353677,-907738 
-3804026,-3697821,-3737204,-3750160,-4037779,-4434594,-4346071,-889785 
-3815861,-3698584,-3849693,-3865277,-4009565,-4417381,-4348684,-882596 
-3843693,-3728192,-3832281,-3841641,-4031591,-4437552,-4373962,-912698 
-3830606,-3726052,-3703278,-3707377,-4053622,-4448070,-4368644,-917428 
-3831707,-3734173,-3651684,-3656242,-4084029,-4472416,-4377055,-929819 
-3837780,-3734132,-3740436,-3752256,-4073904,-4469707,-4379851,-925426 
-3849944,-3735534,-3853403,-3867952,-4046438,-4452958,-4382434,-919462 
-3853711,-3739796,-3831598,-3841524,-4042729,-4448034,-4383334,-923517 
-3842869,-3739703,-3706254,-3709931,-4066413,-4460381,-4380237,-929989 
-3821557,-3724106,-3647291,-3652924,-4073364,-4461830,-4366516,-917669 
-3844317,-3741346,-3741598,-3752616,-4081049,-4476564,-4386326,-931112 
-3860876,-3748017,-3853962,-3868350,-4058882,-4464529,-4393286,-931031 
-3898636,-3788579,-3842918,-3850425,-4091036,-4494556,-4428074,-973281 
-3864774,-3764999,-3707057,-3711128,-4091326,-4483359,-4401612,-956854 
-3828609,-3733314,-3647302,-3653035,-4082325,-4469302,-4373035,-927372 
-3826094,-3723541,-3735417,-3747867,-4063348,-4458336,-4367804,-912549 
-3848839,-3736074,-3853024,-3867839,-4046952,-4452633,-4381224,-918074 
-3849626,-3736717,-3833444,-3843912,-4038999,-4443759,-4379080,-917805 
-3831861,-3728535,-3707704,-3712147,-4054407,-4448192,-4368847,-915426 
-3892669,-3801072,-3665440,-3666902,-4149770,-4535106,-4437200,-995811 
-3958539,-3867713,-3757441,-3764457,-4207499,-4596691,-4499871,-1063817 
-3999207,-3901994,-3874696,-3884301,-4212890,-4610670,-4530265,-1095310 
-3955747,-3857993,-3840931,-3850259,-4160112,-4556985,-4483052,-1051934 
-3827588,-3731569,-3696317,-3703842,-4057306,-4446821,-4362348,-926637 
-3790852,-3697511,-3638587,-3646246,-4046692,-4431864,-4333597,-893874 
-3808410,-3708449,-3730292,-3743250,-4049161,-4441912,-4348701,-899647 
-3818092,-3706359,-3846262,-3862641,-4018157,-4422414,-4349022,-889154 
-3814245,-3700604,-3831257,-3843199,-4003250,-4407701,-4342206,-881449 
-3808947,-3705207,-3708902,-3714231,-4031015,-4424632,-4344742,-892323 
-3795807,-3698340,-3646396,-3652969,-4047438,-4435029,-4339412,-888662 
-3790541,-3685648,-3729506,-3742956,-4026574,-4421925,-4331668,-870127 
-3802179,-3685356,-3847259,-3863822,-3997407,-4404312,-4334034,-861302 
-3813525,-3696041,-3836492,-3848066,-3998448,-4405127,-4342383,-870766 
-3814416,-3707860,-3714707,-3719701,-4033007,-4428432,-4350842,-888997 
-3849473,-3753136,-3661251,-3664694,-4101749,-4489445,-4393898,-940634 
-3934357,-3838853,-3756885,-3763767,-4179977,-4571361,-4476175,-1028538 
-4021997,-3923804,-3883799,-3891872,-4236115,-4634399,-4553668,-1113423 
-4027409,-3933532,-3863474,-3869514,-4235264,-4630742,-4554798,-1126141 
-3943159,-3856551,-3722564,-3726241,-4180954,-4566255,-4477256,-1054681 
-3858392,-3773511,-3647067,-3653786,-4121956,-4503004,-4400354,-972681 
-3869232,-3778122,-3736516,-3748005,-4119289,-4507475,-4409106,-973367 
-3924908,-3826390,-3862545,-3875889,-4138780,-4536370,-4455279,-1017281 
-3867317,-3763851,-3838332,-3850716,-4066202,-4465449,-4394062,-951864 
-3868955,-3775761,-3723141,-3727322,-4100446,-4488716,-4403081,-970475 
-3914717,-3833541,-3667339,-3670007,-4182297,-4561557,-4456863,-1036672 
-3877969,-3789576,-3735861,-3748044,-4131416,-4517919,-4417960,-988130 
-3870245,-3769112,-3852934,-3868872,-4082116,-4480544,-4400849,-959291 
-3892087,-3790856,-3850314,-3860564,-4093213,-4491248,-4419129,-981067 
-3926299,-3838866,-3736589,-3738494,-4163372,-4548657,-4460371,-1038711 
-3906269,-3826696,-3660317,-3664968,-4176229,-4553990,-4448129,-1033562 
-3816163,-3724466,-3724446,-3739047,-4067004,-4454454,-4356058,-921992 
-3849046,-3746378,-3853932,-3869707,-4059825,-4458602,-4379676,-936140 
-3849876,-3745437,-3845623,-3857782,-4047907,-4447082,-4376789,-933801 
-3853806,-3759771,-3729439,-3733709,-4083853,-4472132,-4387873,-954621 
-3922419,-3842217,-3674811,-3676199,-4190579,-4568936,-4464310,-1046561 
-3945041,-3862967,-3750801,-3759214,-4205045,-4588056,-4484590,-1066861 
-3872220,-3774137,-3849400,-3866644,-4087672,-4483794,-4402085,-967702 
-3830897,-3726871,-3841771,-3855428,-4028924,-4427652,-4357092,-915869 
-3844287,-3750907,-3728906,-3733885,-4074297,-4462124,-4377812,-946622 
-3857661,-3773767,-3661242,-3665967,-4121788,-4501622,-4399412,-975701 
-3833692,-3742488,-3731322,-3743782,-4084736,-4471747,-4373763,-939404 
-3851575,-3748831,-3854201,-3869517,-4062470,-4461029,-4382348,-938431 
-3848559,-3742735,-3847469,-3859283,-4045502,-4444942,-4375458,-931787 
-3845596,-3749680,-3728554,-3733387,-4073904,-4462451,-4379570,-945447 
-3861512,-3775258,-3661827,-3665715,-4124367,-4504756,-4403962,-977577 
-3863850,-3774177,-3734935,-3745991,-4116948,-4502931,-4404780,-972427 
-3850248,-3747857,-3850616,-3866544,-4061689,-4459738,-4381924,-937036 
-3861576,-3757893,-3851254,-3862382,-4059545,-4458357,-4389466,-945765 
-3847923,-3754031,-3728361,-3733435,-4076716,-4464896,-4382869,-947813 
-3841731,-3755923,-3656435,-3661179,-4103544,-4484411,-4385214,-954510 
-3866979,-3778107,-3733896,-3744003,-4120487,-4506572,-4408917,-974853 
-3881774,-3782504,-3853538,-3868114,-4096312,-4493149,-4414084,-972754 
-3878188,-3776892,-3852769,-3863528,-4078056,-4475631,-4406130,-965249 
