ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4735001,-4491992,-3951136,-4025772,-4384874,-4735177,-4791549,-1213794 
-4735049,-4496395,-3952958,-4029209,-4389482,-4739737,-4793772,-1219524 
-4741641,-4503630,-3960683,-4036451,-4396484,-4747762,-4802287,-1231553 
-4731425,-4501788,-3954867,-4032487,-4395496,-4733662,-4792062,-1220790 
-4743029,-4496647,-3958513,-4031721,-4389031,-4743812,-4798692,-1224675 
-4768190,-4496129,-3968531,-4035879,-4386576,-4777024,-4814847,-1260387 
-4730784,-4495189,-3947229,-4024855,-4389132,-4741987,-4782837,-1244549 
-4732439,-4503629,-3959797,-4036486,-4396468,-4737469,-4798338,-1232597 
-4790521,-4508792,-3985182,-4049504,-4398209,-4804707,-4835529,-1311649 
-4728231,-4494472,-3946735,-4024071,-4388232,-4733255,-4778531,-1256239 
-4714181,-4489997,-3941339,-4019919,-4383962,-4714433,-4773731,-1226766 
-4713704,-4494417,-3944337,-4023808,-4388594,-4714241,-4779710,-1216774 
-4725204,-4501968,-3954264,-4032304,-4395667,-4725509,-4793007,-1221752 
-4744196,-4503467,-3963384,-4036960,-4395812,-4744184,-4805256,-1236919 
-4764486,-4498720,-3967791,-4036163,-4389546,-4768629,-4812672,-1264690 
-4746704,-4493056,-3954639,-4027079,-4385155,-4753489,-4794316,-1258972 
-4736626,-4496912,-3953536,-4028939,-4389705,-4744874,-4792272,-1254919 
-4715841,-4501040,-3947751,-4028648,-4395506,-4718674,-4781789,-1229977 
-4738370,-4503224,-3961076,-4036142,-4395827,-4738514,-4801544,-1241185 
-4733779,-4495071,-3951919,-4027236,-4388187,-4732798,-4790124,-1233909 
-4708066,-4488495,-3936486,-4016826,-4383402,-4704927,-4769314,-1199143 
-4689649,-4491461,-3931961,-4017067,-4387559,-4683360,-4763449,-1161142 
-4712752,-4500627,-3949059,-4029956,-4395281,-4707076,-4787622,-1167517 
-4740252,-4502530,-3960916,-4035872,-4395545,-4737068,-4804005,-1190916 
-4727380,-4493639,-3948135,-4025011,-4387484,-4723170,-4785784,-1175020 
-4766942,-4495562,-3968606,-4035925,-4385996,-4772059,-4816864,-1218379 
-4765536,-4499159,-3964890,-4035151,-4390841,-4781586,-4809765,-1251549 
-4711224,-4500121,-3943732,-4026657,-4395509,-4717135,-4774979,-1196984 
-4733588,-4502378,-3958475,-4034871,-4395729,-4734672,-4797102,-1204280 
-4759476,-4497932,-3965836,-4035564,-4389334,-4763723,-4810191,-1232146 
-4734417,-4490984,-3947760,-4023174,-4384373,-4740382,-4785021,-1217465 
-4718410,-4494685,-3945345,-4024654,-4388990,-4722598,-4780717,-1196324 
-4728186,-4502169,-3954737,-4032951,-4396045,-4731877,-4793504,-1202959 
-4727750,-4501229,-3954212,-4031895,-4395214,-4727245,-4791661,-1195291 
