ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-5045354,-4503314,-4030744,-4083647,-4736037,-5079466,-4921279,-1448833 
-5043566,-4494689,-4030644,-4082737,-4733446,-5065034,-4920256,-1235623 
-5050681,-4513854,-4034424,-4088139,-4741739,-5095837,-4925899,-1457294 
-5020585,-4475939,-4006297,-4058913,-4710998,-5050633,-4896558,-1430636 
-5016434,-4468009,-4003106,-4055310,-4706306,-5040927,-4892964,-1196274 
-5048936,-4508019,-4034002,-4087117,-4739780,-5086679,-4924897,-1362182 
-5056073,-4513527,-4041460,-4094374,-4746653,-5089779,-4932041,-1420826 
-5034089,-4487147,-4020701,-4073139,-4724367,-5060431,-4910609,-1278681 
-5017798,-4471999,-4004109,-4056778,-4708294,-5047632,-4894327,-1197971 
-5028129,-4485851,-4013354,-4066343,-4718724,-5064428,-4904023,-1286604 
-5053351,-4513821,-4037869,-4091145,-4744014,-5093457,-4928686,-1441761 
-5053768,-4509198,-4039643,-4092131,-4743745,-5083771,-4929412,-1409604 
-5039252,-4495084,-4025243,-4077782,-4729506,-5071217,-4915053,-1342174 
-5015774,-4468352,-4002583,-4054760,-4705849,-5042273,-4892045,-1222649 
-5020694,-4473979,-4007299,-4059589,-4710865,-5048851,-4897014,-1157376 
-5047936,-4504815,-4033339,-4086040,-4738182,-5082231,-4923660,-1240554 
-5060518,-4519950,-4045227,-4098206,-4751039,-5098694,-4935890,-1401194 
-5037619,-4492789,-4023537,-4076070,-4727931,-5068511,-4913843,-1307064 
-5021315,-4477356,-4007057,-4059787,-4711832,-5054535,-4897417,-1287072 
-5022381,-4476224,-4008916,-4061256,-4712846,-5051561,-4898896,-1211329 
-5046517,-4502777,-4032449,-4085039,-4737114,-5079684,-4922719,-1250011 
-5055663,-4513099,-4041337,-4093984,-4746286,-5090199,-4931664,-1321671 
-5045529,-4506087,-4030352,-4083392,-4736465,-5086250,-4921065,-1424653 
-5018519,-4473039,-4004811,-4057129,-4708976,-5048631,-4894701,-1325129 
-5025346,-4480770,-4011281,-4063637,-4715574,-5057446,-4901214,-1276257 
-5046829,-4503230,-4032797,-4085262,-4737281,-5079653,-4922882,-1319830 
-5050406,-4504958,-4036819,-4089058,-4740652,-5079369,-4926695,-1282422 
-5035839,-4491434,-4021937,-4074346,-4726351,-5067886,-4912123,-1243179 
-5021779,-4478564,-4007689,-4060204,-4712618,-5056334,-4897887,-1279623 
-5023399,-4477361,-4010003,-4062094,-4713807,-5052606,-4899833,-1198289 
-5050444,-4508252,-4035941,-4088530,-4741043,-5086197,-4926406,-1286616 
-5057801,-4516197,-4043231,-4095819,-4748405,-5093676,-4933435,-1377835 
-5037250,-4493293,-4023399,-4075766,-4727834,-5069475,-4913127,-1325379 
-5020146,-4475889,-4006424,-4058941,-4711031,-5052897,-4896321,-1272987 
-5026853,-4482672,-4013010,-4065544,-4717644,-5059454,-4903076,-1267552 
-5049832,-4506993,-4035587,-4088186,-4740527,-5083866,-4925752,-1336977 
-5049720,-4503780,-4036399,-4088577,-4740066,-5077850,-4926136,-1255970 
-5038321,-4495332,-4023991,-4076624,-4728917,-5072796,-4914329,-1284802 
-5023721,-4481266,-4009350,-4062070,-4714626,-5059677,-4899754,-1318727 
-5029905,-4486981,-4015866,-4068432,-4720826,-5064740,-4906023,-1322976 
-5052624,-4511182,-4038302,-4090942,-4743543,-5089189,-4928436,-1414471 
-5052731,-4508566,-4039211,-4091381,-4743374,-5083959,-4928876,-1383534 
-5036807,-4493520,-4023067,-4075332,-4727564,-5070534,-4912781,-1343276 
-5021971,-4478802,-4008201,-4060516,-4712916,-5056197,-4897928,-1366384 
-5028927,-4485097,-4015261,-4067497,-4719654,-5062056,-4904914,-1325498 
-5051360,-4508791,-4037495,-4089744,-4742212,-5085638,-4927274,-1413646 
-5045693,-4497642,-4033217,-4084684,-4735856,-5069907,-4922119,-1266029 
-5029411,-4482183,-4016504,-4068104,-4719544,-5056411,-4905459,-1165501 
-5016860,-4471552,-4003971,-4055817,-4707748,-5047691,-4893303,-1157720 
-5026141,-4480787,-4013106,-4065079,-4716984,-5056646,-4902544,-1155198 
-5046915,-4501496,-4033845,-4085770,-4737509,-5076622,-4923139,-1163884 
-5050621,-4505850,-4037516,-4089476,-4741254,-5081168,-4926836,-1169004 
-5033467,-4489261,-4020237,-4072244,-4724301,-5065696,-4909713,-1166861 
-5019142,-4474970,-4005959,-4057984,-4710126,-5051924,-4895497,-1153537 
-5028172,-4483892,-4015026,-4067077,-4719169,-5060459,-4904581,-1157607 
-5047097,-4502088,-4033979,-4085940,-4737784,-5077398,-4923452,-1157205 
-5049569,-4504672,-4036334,-4088386,-4740229,-5080056,-4925927,-1145836 
-5033421,-4489541,-4019852,-4072063,-4724276,-5066525,-4909639,-1146524 
-5022332,-4479696,-4008452,-4060896,-4713439,-5057998,-4898459,-1185106 
-5030750,-4486891,-4017007,-4069319,-4721542,-5063759,-4906866,-1195211 
-5048599,-4503554,-4035088,-4087306,-4739179,-5078798,-4924763,-1179521 
-5054476,-4512127,-4040252,-4092918,-4745334,-5089643,-4930375,-1228088 
-5038882,-4498296,-4024417,-4077222,-4730201,-5077282,-4914626,-1332706 
-5015407,-4468994,-4002787,-4054709,-4706287,-5043609,-4892214,-1186922 
-5025460,-4478946,-4012773,-4064694,-4716134,-5053621,-4901977,-1109332 
-5048373,-4503403,-4035206,-4087247,-4739144,-5078809,-4924627,-1143036 
-5049630,-4504822,-4036536,-4088547,-4740518,-5080239,-4926006,-1142844 
-5034829,-4492495,-4021180,-4073528,-4726148,-5070765,-4911077,-1185525 
-5023032,-4481191,-4009299,-4061678,-4714462,-5059914,-4899337,-1230674 
-5034681,-4492983,-4020746,-4073144,-4725941,-5071213,-4910848,-1292631 
-5045973,-4499471,-4033327,-4085058,-4736605,-5072674,-4922654,-1206194 
-5047837,-4502146,-4035066,-4086933,-4738531,-5076728,-4924524,-1144073 
-5032895,-4489474,-4019476,-4071668,-4723911,-5066684,-4909362,-1182401 
-5024170,-4482729,-4010164,-4062608,-4715397,-5061978,-4900364,-1233854 
-5042664,-4505221,-4027795,-4080697,-4734297,-5086875,-4918187,-1437112 
-5054619,-4512939,-4040924,-4093164,-4745626,-5089534,-4930260,-1472988 
-5044849,-4498092,-4032589,-4084144,-4735351,-5070919,-4921253,-1281925 
-5037961,-4498370,-4023679,-4076185,-4729257,-5078161,-4913497,-1397844 
-5019349,-4475772,-4006464,-4058359,-4710653,-5051922,-4895657,-1385997 
-5025970,-4479205,-4013935,-4065278,-4716684,-5052982,-4902381,-1233796 
-5050590,-4506814,-4037775,-4089264,-4741361,-5082279,-4926386,-1292257 
-5053769,-4512416,-4040411,-4092156,-4744786,-5089587,-4929322,-1362182 
-5034982,-4493931,-4021623,-4073443,-4726277,-5071720,-4910514,-1421291 
-5024704,-4484044,-4011290,-4063081,-4716096,-5062701,-4900033,-1433131 
-5030266,-4485289,-4017941,-4069097,-4721158,-5059651,-4905961,-1401496 
-5038015,-4486771,-4027249,-4077746,-4728090,-5056169,-4914486,-1136752 
-5048130,-4503766,-4035344,-4086850,-4738783,-5079503,-4923749,-1176452 
-5033822,-4492297,-4020414,-4072294,-4725082,-5070276,-4908964,-1308389 
-5018859,-4474676,-4006284,-4057789,-4710039,-5050761,-4894361,-1250303 
-5031571,-4486796,-4018927,-4070364,-4722459,-5061995,-4907046,-1235419 
-5049809,-4505208,-4037250,-4088754,-4740752,-5079939,-4925582,-1230454 
-5054258,-4513607,-4040722,-4092716,-4745608,-5091507,-4929646,-1336316 
-5033196,-4491594,-4019997,-4071749,-4724535,-5068866,-4908597,-1368050 
-5020413,-4476945,-4007587,-4059149,-4711434,-5053176,-4895866,-1310157 
-5036441,-4494430,-4023329,-4075153,-4727672,-5071429,-4911872,-1362643 
-5051440,-4507557,-4038757,-4090257,-4742297,-5082108,-4927029,-1353109 
-5046793,-4501784,-4034269,-4085657,-4737490,-5075756,-4922569,-1291949 
-5028916,-4485106,-4016034,-4067667,-4719894,-5061065,-4904656,-1271018 
-5021032,-4478052,-4008026,-4059839,-4712257,-5054998,-4896807,-1289509 
-5035619,-4492736,-4022458,-4074278,-4726619,-5069124,-4911271,-1317841 
-5050123,-4505096,-4037452,-4089016,-4740756,-5078877,-4925922,-1291766 
-5049609,-4506634,-4036535,-4088422,-4740561,-5082384,-4925329,-1302879 
-5030679,-4488283,-4017454,-4069543,-4721952,-5065221,-4906434,-1321542 
-5020358,-4476828,-4007352,-4059447,-4711575,-5053127,-4896279,-1303164 
-5031674,-4486544,-4019409,-4071315,-4722769,-5060988,-4908127,-1248229 
-5050461,-4505824,-4038126,-4089970,-4741392,-5080129,-4926756,-1240947 
-5047313,-4502966,-4034851,-4086634,-4738184,-5077638,-4923426,-1243626 
-5028041,-4484226,-4015510,-4067384,-4719069,-5060133,-4904072,-1219201 
-5021114,-4478041,-4008469,-4060354,-4712306,-5055134,-4897103,-1237048 
-5040502,-4499896,-4027284,-4079437,-4731816,-5078480,-4916024,-1330294 
-5059711,-4519529,-4046169,-4098168,-4750601,-5097016,-4934766,-1457553 
-5049186,-4505676,-4036382,-4087982,-4739584,-5080563,-4924576,-1399561 
-5027496,-4483571,-4014841,-4066417,-4718004,-5058952,-4903046,-1350411 
-5013787,-4466684,-4002687,-4053499,-4704355,-5040353,-4890186,-1199918 
-5037382,-4495110,-4024866,-4076630,-4728517,-5072192,-4913481,-1280825 
-5056779,-4515526,-4043551,-4095692,-4747767,-5092142,-4932425,-1388606 
-5047627,-4503857,-4034706,-4086753,-4738380,-5078582,-4923441,-1354585 
-5028264,-4484966,-4015064,-4067339,-4719236,-5061274,-4904121,-1315559 
