ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4236473,-4418376,-4284896,-4110951,-4394758,-4275390,-4256112,-1289482 
-4226724,-4409175,-4275732,-4102061,-4385584,-4266274,-4246653,-1317816 
-4221490,-4406139,-4270237,-4096041,-4382009,-4261756,-4243636,-1259316 
-4245426,-4424688,-4292731,-4119026,-4401392,-4282576,-4262002,-1345612 
-4247147,-4430062,-4297208,-4123432,-4406495,-4286967,-4267021,-1425820 
-4230663,-4415428,-4279541,-4105279,-4391181,-4270739,-4252566,-1328878 
-4221606,-4405856,-4270851,-4096846,-4381902,-4261706,-4242775,-1315484 
-4226299,-4408627,-4274484,-4100422,-4384741,-4264920,-4245548,-1309990 
-4230977,-4416433,-4280233,-4105742,-4392032,-4271331,-4253370,-1280172 
-4244055,-4425089,-4291208,-4117031,-4401224,-4281631,-4262590,-1286542 
-4244495,-4424310,-4293386,-4120079,-4401159,-4282499,-4261406,-1420491 
-4224168,-4408119,-4273666,-4099674,-4384070,-4264102,-4244992,-1377258 
-4227774,-4410500,-4276747,-4102527,-4386527,-4266961,-4247556,-1385044 
-4233959,-4418249,-4282967,-4108175,-4393822,-4273686,-4255215,-1353984 
-4242837,-4425579,-4291441,-4116646,-4401318,-4281453,-4262319,-1366516 
-4230312,-4415073,-4279511,-4104667,-4390622,-4270201,-4251817,-1325097 
-4215962,-4401233,-4264474,-4089589,-4376709,-4256093,-4238379,-1233732 
-4230661,-4410330,-4277770,-4103477,-4386817,-4267845,-4247994,-1292964 
-4232707,-4417966,-4282577,-4107729,-4393725,-4273292,-4255106,-1302182 
-4246874,-4427071,-4294160,-4119585,-4403297,-4283980,-4264357,-1322721 
-4235492,-4418984,-4285006,-4110492,-4394975,-4275252,-4256071,-1349666 
-4215112,-4401329,-4264217,-4089197,-4376711,-4256101,-4238561,-1228915 
-4230255,-4409952,-4277123,-4102600,-4386315,-4267553,-4247884,-1264367 
-4240741,-4423186,-4290149,-4115726,-4399474,-4280351,-4260908,-1352793 
-4244389,-4426390,-4292489,-4117754,-4402404,-4283046,-4264044,-1332812 
