ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
2409320,3012073,-2065331,-3586534,-2347034,-1441965,-2431073,-2951 
2411383,2977429,-2056158,-3569804,-2342053,-1428421,-2421091,-4568 
2415972,2966351,-2048791,-3557498,-2333771,-1415691,-2412921,-1646 
2416360,2994068,-2053536,-3566120,-2332815,-1420331,-2417786,1553 
2412591,3022568,-2063422,-3583711,-2340636,-1436161,-2428644,1139 
2409578,3012600,-2064626,-3585757,-2346436,-1441398,-2430127,-2492 
2411809,2977666,-2055735,-3569439,-2341881,-1428206,-2420682,-4236 
2416042,2966236,-2048906,-3557707,-2334119,-1415987,-2413124,-1797 
2416280,2993791,-2053692,-3566442,-2333354,-1420855,-2418015,1305 
2412438,3022194,-2063676,-3584064,-2341140,-1436683,-2428833,857 
2409653,3012400,-2065019,-3586295,-2346586,-1441771,-2430713,-2602 
2411669,2977661,-2055801,-3569526,-2341616,-1428285,-2420794,-4332 
2415694,2966432,-2047643,-3555522,-2333024,-1414836,-2410417,-1519 
2415982,2994388,-2051849,-3562907,-2331773,-1418941,-2413983,1821 
2412618,3022509,-2063147,-3582706,-2340609,-1435953,-2427995,1170 
2409638,3012383,-2064953,-3585524,-2346723,-1441531,-2430386,-2574 
2411619,2977721,-2055848,-3568987,-2341927,-1428201,-2420586,-4311 
2415779,2966246,-2048959,-3557311,-2334146,-1416013,-2413009,-1847 
2416452,2994183,-2053469,-3565702,-2332906,-1420482,-2417598,1634 
2412286,3022828,-2062062,-3581407,-2340011,-1435367,-2425779,1429 
2408581,3012489,-2063726,-3583442,-2346008,-1440861,-2427204,-2641 
2411075,2977403,-2056184,-3569196,-2342161,-1428801,-2420661,-4657 
2415261,2965721,-2049422,-3557646,-2334669,-1416752,-2413291,-2284 
2415553,2993392,-2054397,-3566380,-2333899,-1421496,-2418357,798 
2411941,3021916,-2063987,-3583630,-2341441,-1436991,-2428941,553 
2409397,3012446,-2065077,-3585741,-2346903,-1441972,-2430539,-2616 
2411461,2977979,-2055691,-3568764,-2341902,-1428384,-2419971,-4162 
2415766,2966562,-2048989,-3557405,-2334154,-1416314,-2412836,-1641 
2416292,2994424,-2053528,-3565852,-2332947,-1420752,-2417563,1708 
2412479,3022747,-2063383,-3583394,-2340754,-1436492,-2428388,1209 
2409446,3012775,-2065108,-3585999,-2346656,-1441877,-2430561,-2559 
2411427,2978034,-2056049,-3569461,-2341937,-1428549,-2420802,-4354 
2415804,2966801,-2048892,-3557358,-2333997,-1416034,-2412903,-1657 
2416366,2994899,-2053141,-3565202,-2332624,-1420089,-2416855,1910 
2412426,3022996,-2063514,-3583426,-2340892,-1436397,-2428487,1209 
2408965,3012573,-2065583,-3586511,-2347321,-1442359,-2431161,-2941 
2411027,2977821,-2056462,-3569981,-2342567,-1429052,-2421270,-4669 
2415434,2966566,-2049381,-3558107,-2334601,-1416700,-2413390,-1927 
2416055,2994589,-2053834,-3566472,-2333382,-1421131,-2417862,1591 
2412399,3023183,-2063469,-3583811,-2340886,-1436700,-2428387,1356 
2409109,3013135,-2065030,-3586096,-2346707,-1442050,-2430059,-2469 
2411209,2978418,-2056246,-3569819,-2342006,-1428821,-2420758,-4271 
2415421,2966922,-2049321,-3557978,-2334299,-1416575,-2413145,-1799 
2416136,2994719,-2053716,-3566116,-2333142,-1420904,-2417654,1689 
2411974,3023143,-2063217,-3583121,-2340912,-1436489,-2427580,1152 
2408022,3012915,-2064156,-3584123,-2346609,-1441432,-2427409,-2876 
2410471,2978051,-2056682,-3569851,-2342615,-1429260,-2420756,-4801 
2415139,2967299,-2049199,-3557584,-2334271,-1416479,-2412509,-1828 
2416202,2995263,-2053561,-3565938,-2332946,-1420824,-2417293,1874 
2412333,3023382,-2063510,-3583507,-2340794,-1436629,-2428235,1283 
2408939,3013036,-2065540,-3586483,-2347104,-1442462,-2430739,-2774 
2410892,2978576,-2056575,-3570086,-2342366,-1429183,-2421052,-4536 
2415128,2967433,-2049634,-3558338,-2334616,-1417014,-2413415,-2021 
2415973,2995016,-2053877,-3566565,-2333681,-1421479,-2417879,1533 
2412015,3023068,-2063454,-3583709,-2341434,-1437093,-2428120,1069 
2408934,3013217,-2065447,-3586774,-2347354,-1442747,-2430830,-2733 
2410738,2978606,-2056652,-3570642,-2342651,-1429694,-2421259,-4638 
2415133,2967323,-2049593,-3558741,-2334657,-1417357,-2413399,-2002 
2415825,2994779,-2053922,-3567013,-2333741,-1421899,-2417842,1471 
2411988,3022985,-2063703,-3584446,-2341521,-1437558,-2428556,1018 
2408878,3013317,-2065469,-3587034,-2347284,-1442889,-2430746,-2709 
2410771,2978904,-2056159,-3570063,-2342330,-1429367,-2420397,-4421 
2415164,2967464,-2049386,-3558495,-2334694,-1417217,-2413185,-1897 
2415906,2994959,-2053877,-3566892,-2333906,-1421798,-2417853,1503 
2412214,3023361,-2063566,-3584143,-2341449,-1437256,-2428459,1172 
2408947,3013914,-2065486,-3586942,-2347138,-1442692,-2430776,-2649 
2410966,2979082,-2056528,-3570678,-2342637,-1429692,-2421083,-4412 
2415401,2967721,-2049320,-3558611,-2334575,-1417167,-2413141,-1734 
2415916,2995009,-2053523,-3566497,-2333643,-1421614,-2417159,1616 
2412109,3023142,-2063670,-3584369,-2341588,-1437506,-2428536,1055 
2408907,3013395,-2065575,-3587226,-2347484,-1443064,-2430923,-2779 
2410856,2979036,-2056612,-3570862,-2342704,-1429863,-2421224,-4543 
2415381,2967988,-2049300,-3558686,-2334540,-1417245,-2413179,-1700 
2416029,2995361,-2053700,-3567083,-2333783,-1421901,-2417767,1687 
2412256,3023353,-2063393,-3584407,-2341559,-1437501,-2428412,1250 
2408807,3013674,-2065083,-3586826,-2347280,-1442853,-2430157,-2616 
2410793,2979261,-2056461,-3570971,-2342684,-1429926,-2421087,-4519 
2415099,2967758,-2049475,-3559086,-2334826,-1417504,-2413343,-1992 
2416047,2995320,-2053602,-3567147,-2333783,-1421814,-2417684,1686 
2412329,3023589,-2063305,-3584481,-2341496,-1437413,-2428397,1312 
2409182,3014009,-2065141,-3587131,-2347217,-1442831,-2430672,-2450 
2410897,2979309,-2056462,-3570940,-2342626,-1429813,-2421194,-4482 
2414283,2967208,-2049974,-3559317,-2335371,-1417947,-2413581,-2677 
2413925,2993389,-2055781,-3569168,-2335887,-1423941,-2419837,-449 
2409894,3021132,-2065884,-3586915,-2344074,-1439991,-2430963,-1197 
2407847,3012600,-2066571,-3588366,-2348691,-1444226,-2432012,-3813 
2410695,2979124,-2056776,-3571164,-2342973,-1430089,-2421440,-4726 
2415189,2968014,-2049542,-3559099,-2334763,-1417477,-2413401,-1942 
2416213,2995674,-2053617,-3567142,-2333593,-1421761,-2417581,1821 
2412420,3023837,-2062995,-3584034,-2341231,-1437216,-2427627,1491 
2409311,3014089,-2065102,-3587114,-2347171,-1442811,-2430454,-2401 
2411289,2979865,-2056173,-3570753,-2342330,-1429526,-2420792,-4169 
2415595,2968469,-2049090,-3558785,-2334454,-1417177,-2412948,-1542 
2416348,2995675,-2053394,-3566954,-2333548,-1421642,-2417359,1925 
