status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0.053,2829563,5007272,1299085,2939070,5532563,614611,1462303,5299 
0.407,2822546,4995983,1295533,2937107,5578002,608151,1463056,-2731 
0.408,2824221,5059476,1327032,2956227,5722143,608218,1509452,-5712 
0.409,2835559,5111758,1347671,2966801,5717926,613172,1531371,-4451 
0.413,2837791,5078997,1329285,2955183,5568223,617801,1499956,4346 
0.413,2829321,5004649,1298763,2938803,5531051,614451,1462161,5165 
0.414,2822273,4995026,1295833,2937272,5576588,608059,1463840,-2832 
0.414,2823993,5058928,1327408,2956211,5720413,608171,1510193,-5718 
0.415,2835357,5109754,1347534,2966513,5714944,613164,1531281,-4271 
0.415,2837654,5076365,1328853,2954832,5565776,617813,1499446,4468 
0.416,2829042,5001982,1298290,2938388,5528543,614251,1461663,4957 
0.416,2822001,4993627,1295921,2937044,5575428,607931,1464010,-3024 
0.416,2823917,5058615,1327901,2956414,5720228,608196,1510898,-5734 
0.417,2835422,5108129,1347582,2966584,5711199,613253,1531359,-4271 
0.424,2837554,5073256,1328382,2954556,5562322,617923,1498855,4569 
0.425,2829178,4999577,1298083,2938338,5526587,614332,1461520,4925 
0.426,2822214,4991991,1296280,2937281,5575100,608017,1464633,-3046 
0.427,2824336,5057659,1328466,2956741,5720122,608381,1511765,-5795 
0.428,2835709,5106038,1347398,2966261,5706021,613439,1530991,-4257 
0.429,2837529,5069530,1327785,2954225,5558118,618048,1498118,4690 
0.429,2828964,4996931,1297769,2938223,5524255,614256,1461360,4761 
0.430,2822053,4990992,1296623,2937443,5575494,607945,1465376,-3165 
0.432,2824555,5057547,1329261,2957188,5720411,608474,1512810,-5677 
0.433,2835988,5105283,1347529,2966371,5702086,613581,1531064,-4022 
0.434,2837553,5066768,1327263,2953999,5554515,618097,1497513,4920 
0.441,2828944,4994187,1297384,2937923,5522445,614148,1460858,4708 
0.442,2822102,4990437,1297160,2937785,5575072,607893,1466119,-3259 
0.443,2824803,5057218,1330115,2957889,5720556,608628,1514036,-5681 
0.444,2836315,5103699,1347594,2966369,5697406,613761,1530889,-3983 
0.445,2837669,5063584,1326723,2953774,5551101,618242,1496739,5087 
0.446,2828968,4991198,1296976,2937703,5520537,614077,1460411,4436 
0.446,2822240,4989716,1297668,2938153,5576395,607978,1466974,-3416 
0.447,2825298,5056802,1330797,2958205,5721383,608830,1514858,-5802 
0.448,2836801,5101524,1347581,2966352,5691824,614089,1530563,-3831 
0.449,2837500,5060107,1326034,2953484,5546449,618229,1495947,5143 
0.449,2828771,4988138,1296588,2937464,5518423,613925,1460119,4297 
0.450,2822273,4988417,1298208,2938458,5577411,608006,1467913,-3441 
0.451,2825564,5056314,1331414,2958512,5721111,608977,1515820,-5794 
0.457,2837019,5099663,1347409,2966224,5686649,614277,1530378,-3654 
0.458,2837322,5056850,1325222,2952884,5542652,618209,1495013,5266 
0.459,2828513,4985738,1296149,2937143,5516381,613765,1459792,4146 
0.460,2821983,4987244,1298439,2938594,5577342,607814,1468579,-3603 
0.461,2825613,5056073,1332077,2959103,5721020,608989,1516926,-5740 
0.461,2837154,5097826,1347403,2966230,5682807,614339,1530325,-3520 
0.462,2837334,5053461,1324839,2952699,5539731,618273,1494483,5413 
0.463,2828609,4983441,1296037,2937111,5514255,613747,1459730,4076 
0.463,2822238,4985987,1298940,2938863,5577407,607902,1469318,-3614 
0.464,2825968,5054948,1332469,2959078,5720331,609081,1517395,-5895 
0.464,2837566,5096435,1347434,2966079,5678150,614581,1530215,-3507 
0.465,2837518,5050782,1324681,2952709,5536535,618551,1494315,5599 
0.465,2828716,4981204,1295996,2937028,5512714,613863,1459672,4014 
0.466,2822342,4985793,1299532,2939118,5576986,608021,1470157,-3668 
0.467,2826039,5054561,1333020,2959223,5718964,609130,1518060,-5899 
0.467,2837469,5094883,1347265,2965877,5673596,614566,1529890,-3364 
0.473,2837162,5047706,1323880,2952092,5533414,618333,1493339,5658 
0.474,2828417,4978565,1295644,2936802,5510934,613657,1459379,3854 
0.475,2822119,4984458,1299773,2939401,5576908,607903,1470748,-3819 
0.476,2826346,5053516,1333514,2959576,5718097,609304,1518719,-5836 
